,Date,User,Tweet
4165,2022-12-19 21:34:14+00:00,GodblessBass,"oh good read.🔥
good points overall.
could do without one or two of the bullets shot in the article's own foot. But that's any read (mostly).
i mean, Ronaldo does own the article's barometer league after all- unbiasedly. https://t.co/vjajGTs9KE"
4166,2022-12-19 21:34:14+00:00,MahamAneelaN,"#لیکر_رہیں_گے_آزادی 
#Bannu North Waziristan #Ronaldo Daddy Captain #PervaizElahi Dembele https://t.co/gl7TBPRGHC"
4167,2022-12-19 21:34:10+00:00,warmschnee,@Rebareaalne @StokeyyG2 ronaldo gon post a dick pic to reassert his dominance
4168,2022-12-19 21:34:06+00:00,school_boi001,"@atiku U wey they look 4 people to vote u now u come de post messi abi 
Ego shock u if all ronaldo fans no vote u 4 naija"
4169,2022-12-19 21:34:05+00:00,floydmorrisja,"@LambertBrownJa @DrewOnline Then Ronaldo would come after. He has lifted 2 World Cup and been at 4 finals with Brazil. Ronaldo has also scored 15 goals in the World Cup, 3 more than Messi. Let the data speak."
4170,2022-12-19 21:34:05+00:00,Sampson4004,"@ESPNUK So some play 7 matches won 4 lose one and draw 2 n u think CR7 dont deserve to be in that list bcz he has not won world cup?  
Messi is a goat so as Ronaldo
Ronaldo hàs done more in football than maradona n pele.
In their time football was not competitive like today.
Respect cr7"
4171,2022-12-19 21:34:03+00:00,incr_hulk,@mimiboy101 @GiallorossiBlue @_DeclanRice I didn't see Cristino Ronaldo there 😂😂
4172,2022-12-19 21:34:03+00:00,Safwan9_7,"@lavienoire It’s revolutionary, France are a good team but not even guys like Henry, Messi, Ronaldo, Neymar etc done the closest one is R9 but even then mbappe is looking to surpass his World Cup legacy"
4173,2022-12-19 21:34:03+00:00,naewqe,@wfclouis @TheEuropeanLad He has less followers than Ronaldo. Which means he’ll never complete Instagram
4174,2022-12-19 21:33:59+00:00,ihe_chi_,"@victorydonscrew @Makwazyxkintone @iDanDizzy Messi is a fantastic prayer I love watching he play..
Nevertheless Cristiano Ronaldo work hard to match the talent Messi has!
That I guess should be appreciated without sentiment! 
Two King 👑"
4175,2022-12-19 21:33:58+00:00,RPMX_Link,"Ronaldo had the chance to go further but sadly they got to desperate, Messi actually did what he had to do debates over 🤷🏻‍♂️ https://t.co/VnycD1CZKv"
4176,2022-12-19 21:33:57+00:00,Tezzathekchen,"@MikhaeIII Ronaldo has nothing to do with the GOAT debate, so how is this disrespectful to him?"
4177,2022-12-19 21:33:56+00:00,dEE__frank,"@Kvngfabz1 @OwusuAnsahKwak5 @kwadwosheldon @Cristiano Lol still wrong... There are differnt world best awards like FIFA the best, UEFA the best, Ballorn dor...and more...depends on the body presenting it. Ballon dor is presented by France football.thats the one he won 5times."
4178,2022-12-19 21:33:49+00:00,blackk_chris,Ronaldo fans keep liking the egg… fuck is wrong with them https://t.co/BZQoQgRDxr
4179,2022-12-19 21:33:47+00:00,SudaisNafiwu,@gyaigyimii @JodelHub U kraa weytin u know about footbal he though he has more ballon d’ors Ronaldo has more globe soccer awards and he is also a 3x fifa best player and what at all is ballon d’or or u mean Is better than globe soccer award
4180,2022-12-19 21:33:47+00:00,Rohanseernam,"@FabrizioRomano Just imagine if Ronaldo's Portugal got pens every game and especially if Ronaldo gave a deliberate handball and not get booked
@sportbible @brfootball @SkySportsPL @ESPNFC  @thefootyarena 
Oh they would go CRAZY. messi is media good boy.Always portray Cristiano as a villain.Shame https://t.co/xFjYsk3Y2q"
4181,2022-12-19 21:33:46+00:00,Ollielmeri,@FavioFavous_ @StokeyyG2 The true Ronaldo over Mpaypal
4182,2022-12-19 21:33:45+00:00,iMesQueUnClub,@LisandroMartiny @TheEuropeanLad The egg would probably start over Ronaldo
4183,2022-12-19 21:33:45+00:00,90_vinny,A massage to Haland is that he is brilliant now in Manchester City but to reach the success as Ronaldo does he must score 46golds continuesly in 16 years...... 🤣🤣🤣 Mai bro RONALDO is a real GOAT
4184,2022-12-19 21:33:43+00:00,8ward_newgate,"@UTDTrey They will never accept Messi The Goats. it suppose to end the debate, Messi got the most prestigious prize in football and yet people still mocking and keep on downgraded Messi. But Nevermind, Because thats Ronaldo Attitude, PATHETIC.  
Instagram followers is prestigious for them"
4185,2022-12-19 21:33:42+00:00,cisse_slim,@Goat7ii You know Ronaldo lost the goat debate when you see this type of publication.
4186,2022-12-19 21:33:35+00:00,Mureejb01,@Shoaib_Jatt @Cristiano Messi will never be as relevant as ronaldo to me until he decide to stop joining cheap leagues without challanges and moves to leagues that will expose his ability to maintain consistency under constant pressure!✌🏽
4187,2022-12-19 21:33:35+00:00,Aimano087,@StokeyyG2 Ronaldo fans now gonna be liking the egg photo smh
4188,2022-12-19 21:33:35+00:00,pcolindres7,@neymarjuniorest @MarcelTheDiesel @m222_ii @TrollFootball what does neymar have over ronaldo😭
4189,2022-12-19 21:33:33+00:00,Emanuel29402387,"@markgoldbridge Do you know Ben Arfa, Mario Gotze, Eden Hazard, those player were compared to Messi but where are they?They were Good in ability, scoring,and Assist, driblin, but no one came close to Lionel Andreas Messi.He can score goal but not in level of Messi and Ronaldo ."
4190,2022-12-19 21:33:30+00:00,Eparisto2,Ronaldo fans are still crying.. Lmaoo 😂 🤣
4191,2022-12-19 21:33:26+00:00,Smeyz3,@LAYORMI116 Wey even dy my area 🤣🤣🤣 scores and dribbles like play ….we said same for pele and maradona Messi and Ronaldo just for this era
4192,2022-12-19 21:33:23+00:00,Omah88824534,"@NwaforDanielEm1 @nocontextfooty Why not compare him with Ronaldo, let's check something"
4193,2022-12-19 21:33:22+00:00,AbdulmujeebEni,"Since Ronaldo fan love history so much, they can add this to their history book 😊 https://t.co/2ORHR8wyC8"
4194,2022-12-19 21:33:22+00:00,duckett_harry,"@_namedNameless @Carra23 I said him being 4th is ridiculous because messi and ronaldo have done more than any other players ever, their numbers are ridiculous, they have dominated the sport together for longer than any players ever, they are by far the best 2 of all time, doesn’t matter the order for me"
